60	63.3	45.1	34	27.6	23.9	22	21	20.5	20.2	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
120	109.1	80.5	60.3	46.2	36.7	30.4	26.3	23.7	22.2	21.2	20.7	20.4	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
180	146.4	109.9	85.5	67.2	53.3	43.1	35.7	30.5	26.9	24.4	22.8	21.7	21.1	20.6	20.4	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
240	192.5	137.5	107.4	86.3	69.7	56.8	46.8	39.3	33.6	29.5	26.5	24.4	22.9	21.9	21.2	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
300	241.5	170.8	129	103.9	85.3	70.3	58.3	48.8	41.5	35.8	31.4	28.2	25.8	24	22.8	21.9	21.3	20.8	20.5	20.4	20.2	20.1	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
360	286.9	209.8	152.3	121.4	99.9	83.3	69.7	58.7	49.8	42.7	37.1	32.8	29.4	26.9	25	23.6	22.5	21.8	21.2	20.8	20.6	20.4	20.2	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
420	328.9	245.6	182.1	139.4	114.3	95.8	80.8	68.4	58.3	50	43.3	38	33.7	30.3	27.7	25.7	24.2	23.1	22.2	21.6	21.1	20.8	20.5	20.4	20.2	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
480	368.1	280.2	212.7	159.9	128.8	107.6	91.4	78	66.8	57.5	49.8	43.5	38.4	34.3	31	28.4	26.3	24.7	23.5	22.6	21.9	21.4	21	20.7	20.5	20.3	20.2	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
540	403.9	311.8	240.6	184.4	143.9	120	101.8	87.4	75.2	65	56.4	49.2	43.3	38.5	34.5	31.3	28.8	26.7	25.1	23.9	22.9	22.2	21.6	21.2	20.9	20.6	20.4	20.3	20.2	20.2	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
600	436.7	341.6	267.6	208.6	161.2	132.1	112	96.5	83.5	72.4	63	55.1	48.5	42.9	38.4	34.6	31.5	29.1	27	25.4	24.2	23.2	22.4	21.8	21.3	21	20.7	20.5	20.4	20.3	20.2	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20	20
660	466.6	369	292.5	231	181.2	144.6	122.4	105	91.3	79.6	69.6	61	53.7	47.6	42.4	38.1	34.5	31.6	29.2	27.2	25.7	24.4	23.4	22.6	22	21.5	21.1	20.8	20.6	20.5	20.3	20.2	20.1	20	20	20	20	20	20	20	20	20	20	20	20	20
720	493.7	394.5	316	252.7	201	158.8	132.6	113.8	99	86.7	76.1	66.9	59	52.3	46.6	41.7	37.7	34.3	31.5	29.2	27.3	25.8	24.6	23.6	22.8	22.1	21.6	21.2	20.9	20.7	20.5	20.3	20.2	20.1	20	20	20	20	20	20	20	20	20	20	20	20
780	518.5	418.2	337.9	272.8	219.3	175.2	143	122.7	106.5	93.5	82.4	72.7	64.3	57	50.8	45.5	41	37.2	34	31.4	29.2	27.4	25.9	24.7	23.7	22.9	22.2	21.7	21.3	21	20.8	20.4	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20	20
840	541.1	439.9	358.5	292	237.2	191.8	154.3	131.4	114.1	100.2	88.5	78.4	69.5	61.8	55.1	49.4	44.4	40.2	36.7	33.7	31.2	29.1	27.3	25.9	24.7	23.7	23	22.3	21.8	21.4	21.1	20.6	20.4	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20	20
900	561.8	460.2	377.8	310.1	254	207	167.9	140.1	121.7	106.7	94.5	83.9	74.6	66.5	59.4	53.2	47.9	43.4	39.4	36.1	33.3	30.9	28.9	27.2	25.9	24.7	23.8	23	22.4	21.9	21.5	20.9	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20	20	20
960	580.8	478.8	395.9	327.1	269.9	221.9	181.5	149.4	129.3	113.3	100.3	89.3	79.7	71.1	63.7	57.1	51.5	46.5	42.3	38.6	35.5	32.9	30.6	28.7	27.1	25.8	24.7	23.8	23	22.4	21.9	21.2	20.7	20.4	20.3	20.1	20.1	20	20	20	20	20	20	20	20	20
1020	598.3	496.2	412.9	343.3	285.3	236.3	194.8	159.8	136.7	119.9	106	94.6	84.6	75.7	67.9	61	55	49.7	45.2	41.2	37.8	34.9	32.4	30.3	28.5	27	25.7	24.6	23.8	23	22.4	21.5	21	20.6	20.4	20.2	20.1	20.1	20	20	20	20	20	20	20	20
1080	614.4	512.3	428.8	358.6	299.7	249.9	207.5	171.4	144.2	126.5	111.8	99.7	89.4	80.2	72.1	64.9	58.5	53	48.1	43.9	40.2	37	34.3	31.9	29.9	28.2	26.8	25.6	24.6	23.7	23	22	21.2	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20	20
1140	629.3	527.4	443.8	373.1	313.5	263	219.8	182.9	152.4	132.9	117.5	104.7	94.1	84.6	76.2	68.7	62.1	56.2	51.1	46.6	42.6	39.2	36.2	33.7	31.5	29.6	28	26.6	25.5	24.5	23.7	22.4	21.6	21	20.6	20.4	20.2	20.1	20.1	20	20	20	20	20	20	20
1200	643.1	541.5	457.9	386.9	326.7	275.5	231.7	193.9	161.7	139.3	123.3	109.9	98.7	89	80.3	72.5	65.6	59.5	54.1	49.3	45.1	41.4	38.2	35.5	33.1	31	29.2	27.7	26.4	25.3	24.4	23	22	21.3	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20	20
1260	656	554.8	471.2	400	339.3	287.5	243	204.6	171.5	145.9	129	114.9	103.1	93.2	84.2	76.2	69.1	62.7	57	52	47.6	43.7	40.3	37.3	34.7	32.5	30.5	28.9	27.4	26.2	25.2	23.5	22.4	21.6	21	20.7	20.4	20.3	20.2	20.1	20.1	20	20	20	20	20
1320	668	567.3	483.8	412.5	351.4	299.1	254	215	181.3	153	134.6	120	107.6	97.3	88.1	79.9	72.5	65.9	60	54.8	50.1	46	42.4	39.2	36.4	34	31.9	30.1	28.5	27.1	26	24.2	22.8	21.9	21.3	20.8	20.5	20.3	20.2	20.1	20.1	20	20	20	20	20
